year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2013,2208311.0,9490988.0,9426862.0,36704680.0,6123509.0,63954350.0,65124716.0,ทั่วประเทศ,0.3863475450267845
2014,2232290.77500119,9540494.29032755,9497713.676885715,36664518.486080945,6124852.5259805,64059869.7542759,64982655.434925,ทั่วประเทศ,0.3877117018112374
2015,2173517.588676145,9443149.849588405,9354375.648348331,36889570.31880997,6397649.3049295675,64258262.71035242,65379333.88750178,ทั่วประเทศ,0.38954973167704143
2016,2035985.3839209434,9408475.74118667,9198821.049486166,37151034.87227269,6672709.026428472,64467026.07329494,66131081.03354012,ทั่วประเทศ,0.39087867246273383
2017,1955335.2651493263,9358071.307898529,8980468.618562533,37390053.469278716,6931163.892311337,64615092.55320044,66251619.20435007,ทั่วประเทศ,0.3934519096161541
2018,1886826.7548007504,9289504.914175825,8782303.370743025,37602257.92855943,7239532.509948967,64800425.478228,66481110.1501134,ทั่วประเทศ,0.39702572716156065
2019,1833862.6383972103,9166812.424078792,8633627.5965869,37791276.9755183,7550740.964958414,64976320.599539615,66678122.71760321,ทั่วประเทศ,0.39960052041940425
2020,1770051.9214391839,8976990.896548914,8522431.266013881,37911626.32638881,7871668.825627449,65052769.23601824,66772768.07753204,ทั่วประเทศ,0.40097102448057104
2021,1677194.115749579,8826420.791267518,8314797.823459253,38092950.75140828,8169314.1848396445,65080677.66672427,66154239.20813868,ทั่วประเทศ,0.40236662336102225
2022,1563633.1776916194,8642173.4810636,8098014.068350553,38201017.66860711,8459647.555183813,64964485.950896695,66143232.81405065,ทั่วประเทศ,0.4031499906949361
2023,1453610.9890865388,8407000.781433148,7948655.652116075,38249279.703224,8774162.098297294,64832709.224157065,66040233.64999928,ทั่วประเทศ,0.40336810997037253
2024,1358159.7572846198,8208535.253496554,7776221.263890399,38404471.07310497,9048314.02381867,64795701.37159521,65989728.51092832,ทั่วประเทศ,0.4030907310518459
2025,1262708.5254827007,8010069.725559957,7603786.875664721,38559662.44298593,9322465.949340044,64758693.51903336,65939223.371857345,ทั่วประเทศ,0.4028131449196102
2026,1167257.2936807815,7811604.197623362,7431352.487439044,38714853.8128669,9596617.874861417,64721685.6664715,65888718.23278637,ทั่วประเทศ,0.40253535134138235
2027,1071806.0618788626,7613138.669686766,7258918.099213366,38870045.18274786,9870769.800382793,64684677.81390965,65838213.0937154,ทั่วประเทศ,0.4022573500845324
2028,976354.8300769434,7414673.14175017,7086483.710987689,39025236.55262883,10144921.725904167,64647669.9613478,65787707.954644434,ทั่วประเทศ,0.40197914091608244
2029,880903.5982750243,7216207.613813574,6914049.3227620125,39180427.9225098,10419073.65142554,64610662.10878595,65737202.81557346,ทั่วประเทศ,0.40170072360270576
2030,785452.3664731053,7017742.085876979,6741614.934536335,39335619.292390764,10693225.576946914,64573654.256224096,65686697.67650249,ทั่วประเทศ,0.40142209791072625
2031,690001.1346711862,6819276.557940383,6569180.546310658,39490810.66227172,10967377.50246829,64536646.403662235,65636192.537431516,ทั่วประเทศ,0.40114326360611846
2032,594549.9028692672,6620811.030003788,6396746.158084981,39646002.03215269,11241529.427989664,64499638.55110039,65585687.39836055,ทั่วประเทศ,0.4008642204545055
2033,499098.671067348,6422345.5020671915,6224311.769859304,39801193.40203366,11515681.35351104,64462630.69853854,65535182.25928958,ทั่วประเทศ,0.40058496822116
2034,403647.4392654288,6223879.974130596,6051877.381633626,39956384.77191462,11789833.279032413,64425622.84597668,65484677.120218605,ทั่วประเทศ,0.4003055066710025
2035,308196.20746350987,6025414.446194001,5879442.993407949,40111576.14179559,12063985.204553787,64388614.993414834,65434171.98114763,ทั่วประเทศ,0.40002583556860066
