year,Province,Age Gruop,Population
2013,ทั่วประเทศ,Infant,2208311.0
2014,ทั่วประเทศ,Infant,2232290.77500119
2015,ทั่วประเทศ,Infant,2173517.588676145
2016,ทั่วประเทศ,Infant,2035985.3839209434
2017,ทั่วประเทศ,Infant,1955335.2651493263
2018,ทั่วประเทศ,Infant,1886826.7548007504
2019,ทั่วประเทศ,Infant,1833862.6383972103
2020,ทั่วประเทศ,Infant,1770051.9214391839
2021,ทั่วประเทศ,Infant,1677194.115749579
2022,ทั่วประเทศ,Infant,1563633.1776916194
2023,ทั่วประเทศ,Infant,1453610.9890865388
2024,ทั่วประเทศ,Infant,1358159.7572846198
2025,ทั่วประเทศ,Infant,1262708.5254827007
2026,ทั่วประเทศ,Infant,1167257.2936807815
2027,ทั่วประเทศ,Infant,1071806.0618788626
2028,ทั่วประเทศ,Infant,976354.8300769434
2029,ทั่วประเทศ,Infant,880903.5982750243
2030,ทั่วประเทศ,Infant,785452.3664731053
2031,ทั่วประเทศ,Infant,690001.1346711862
2032,ทั่วประเทศ,Infant,594549.9028692672
2033,ทั่วประเทศ,Infant,499098.671067348
2034,ทั่วประเทศ,Infant,403647.4392654288
2035,ทั่วประเทศ,Infant,308196.20746350987
2036,ทั่วประเทศ,Infant,212744.9756615907
2037,ทั่วประเทศ,Infant,117293.74385967175
2038,ทั่วประเทศ,Infant,21842.51205775258
2039,ทั่วประเทศ,Infant,0.0
2040,ทั่วประเทศ,Infant,0.0
2041,ทั่วประเทศ,Infant,0.0
2042,ทั่วประเทศ,Infant,0.0
2043,ทั่วประเทศ,Infant,0.0
2044,ทั่วประเทศ,Infant,0.0
2045,ทั่วประเทศ,Infant,0.0
2046,ทั่วประเทศ,Infant,0.0
2047,ทั่วประเทศ,Infant,0.0
2048,ทั่วประเทศ,Infant,0.0
2049,ทั่วประเทศ,Infant,0.0
2050,ทั่วประเทศ,Infant,0.0
2013,กรุงเทพมหานคร,Infant,153467.1
2014,กรุงเทพมหานคร,Infant,153122.9774561138
2015,กรุงเทพมหานคร,Infant,149834.32168513697
2016,กรุงเทพมหานคร,Infant,139736.2291561774
2017,กรุงเทพมหานคร,Infant,134247.15110673645
2018,กรุงเทพมหานคร,Infant,129319.33683220294
2019,กรุงเทพมหานคร,Infant,124288.76393894224
2020,กรุงเทพมหานคร,Infant,118361.66383228399
2021,กรุงเทพมหานคร,Infant,109246.53238873335
2022,กรุงเทพมหานคร,Infant,97875.85323008304
2023,กรุงเทพมหานคร,Infant,89289.07344321205
2024,กรุงเทพมหานคร,Infant,80532.0172235971
2025,กรุงเทพมหานคร,Infant,71774.96100398214
2026,กรุงเทพมหานคร,Infant,63017.90478436717
2027,กรุงเทพมหานคร,Infant,54260.84856475221
2028,กรุงเทพมหานคร,Infant,45503.79234513725
2029,กรุงเทพมหานคร,Infant,36746.736125522286
2030,กรุงเทพมหานคร,Infant,27989.679905907324
2031,กรุงเทพมหานคร,Infant,19232.62368629237
2032,กรุงเทพมหานคร,Infant,10475.5674666774
2033,กรุงเทพมหานคร,Infant,1718.51124706243
2034,กรุงเทพมหานคร,Infant,0.0
2035,กรุงเทพมหานคร,Infant,0.0
2036,กรุงเทพมหานคร,Infant,0.0
2037,กรุงเทพมหานคร,Infant,0.0
2038,กรุงเทพมหานคร,Infant,0.0
2039,กรุงเทพมหานคร,Infant,0.0
2040,กรุงเทพมหานคร,Infant,0.0
2041,กรุงเทพมหานคร,Infant,0.0
2042,กรุงเทพมหานคร,Infant,0.0
2043,กรุงเทพมหานคร,Infant,0.0
2044,กรุงเทพมหานคร,Infant,0.0
2045,กรุงเทพมหานคร,Infant,0.0
2046,กรุงเทพมหานคร,Infant,0.0
2047,กรุงเทพมหานคร,Infant,0.0
2048,กรุงเทพมหานคร,Infant,0.0
2049,กรุงเทพมหานคร,Infant,0.0
2050,กรุงเทพมหานคร,Infant,0.0
2013,สมุทรปราการ,Infant,43338.34200534848
2014,สมุทรปราการ,Infant,42528.02369228704
2015,สมุทรปราการ,Infant,42468.945723948025
2016,สมุทรปราการ,Infant,39402.10744474038
2017,สมุทรปราการ,Infant,38690.30324590164
2018,สมุทรปราการ,Infant,37917.75448681917
2019,สมุทรปราการ,Infant,37630.07918380384
2020,สมุทรปราการ,Infant,36920.38793611788
2021,สมุทรปราการ,Infant,34829.20638818604
2022,สมุทรปราการ,Infant,31855.35792975254
2023,สมุทรปราการ,Infant,29564.508738987086
2024,สมุทรปราการ,Infant,27450.592132353522
2025,สมุทรปราการ,Infant,25336.675525719955
2026,สมุทรปราการ,Infant,23222.75891908639
2027,สมุทรปราการ,Infant,21108.842312452827
2028,สมุทรปราการ,Infant,18994.92570581926
2029,สมุทรปราการ,Infant,16881.009099185696
2030,สมุทรปราการ,Infant,14767.092492552132
2031,สมุทรปราการ,Infant,12653.175885918568
2032,สมุทรปราการ,Infant,10539.259279285005
2033,สมุทรปราการ,Infant,8425.342672651437
2034,สมุทรปราการ,Infant,6311.426066017873
2035,สมุทรปราการ,Infant,4197.50945938431
2036,สมุทรปราการ,Infant,2083.592852750742
2037,สมุทรปราการ,Infant,0.0
2038,สมุทรปราการ,Infant,0.0
2039,สมุทรปราการ,Infant,0.0
2040,สมุทรปราการ,Infant,0.0
2041,สมุทรปราการ,Infant,0.0
2042,สมุทรปราการ,Infant,0.0
2043,สมุทรปราการ,Infant,0.0
2044,สมุทรปราการ,Infant,0.0
2045,สมุทรปราการ,Infant,0.0
2046,สมุทรปราการ,Infant,0.0
2047,สมุทรปราการ,Infant,0.0
2048,สมุทรปราการ,Infant,0.0
2049,สมุทรปราการ,Infant,0.0
2050,สมุทรปราการ,Infant,0.0
2013,นนทบุรี,Infant,35745.492158630615
2014,นนทบุรี,Infant,35118.56954652586
2015,นนทบุรี,Infant,34356.54444592436
2016,นนทบุรี,Infant,32557.143444440342
2017,นนทบุรี,Infant,32001.390331636092
2018,นนทบุรี,Infant,31545.83042256013
2019,นนทบุรี,Infant,30848.988468400476
2020,นนทบุรี,Infant,30314.816446407363
2021,นนทบุรี,Infant,29061.19794204772
2022,นนทบุรี,Infant,27116.00096171162
2023,นนทบุรี,Infant,24823.71742786348
2024,นนทบุรี,Infant,23186.05343033345
2025,นนทบุรี,Infant,21548.389432803422
2026,นนทบุรี,Infant,19910.725435273394
2027,นนทบุรี,Infant,18273.061437743363
2028,นนทบุรี,Infant,16635.397440213335
2029,นนทบุรี,Infant,14997.733442683306
2030,นนทบุรี,Infant,13360.069445153276
2031,นนทบุรี,Infant,11722.405447623247
2032,นนทบุรี,Infant,10084.741450093217
2033,นนทบุรี,Infant,8447.07745256319
2034,นนทบุรี,Infant,6809.413455033162
2035,นนทบุรี,Infant,5171.7494575031305
2036,นนทบุรี,Infant,3534.085459973103
2037,นนทบุรี,Infant,1896.4214624430715
2038,นนทบุรี,Infant,258.7574649130438
