province_id,province_name,2013,2014,2015,2016,2017,2018,2019,2020,2021
0.0,ทั่วประเทศ,"64,785,909","65,124,716","65,729,098","65,931,550","66,188,503","66,413,979","66,558,935","66,186,727","66,171,439"
10.0,กรุงเทพมหานคร,"5,686,252","5,692,284","5,696,409","5,686,646","5,682,415","5,676,648","5,666,264","5,588,222","5,527,994"
11.0,สมุทรปราการ,"1,241,610","1,261,530","1,279,310","1,293,553","1,310,766","1,326,608","1,344,875","1,351,479","1,356,449"
12.0,นนทบุรี,"1,156,271","1,173,870","1,193,711","1,211,924","1,229,735","1,246,295","1,265,387","1,276,745","1,288,637"
13.0,ปทุมธานี,"1,053,158","1,074,058","1,094,249","1,111,376","1,129,115","1,146,092","1,163,604","1,176,412","1,190,060"
14.0,พระนครศรีอยุธยา,"797,970","803,599","808,360","810,320","813,852","817,441","820,188","819,088","820,512"
15.0,อ่างทอง,"283,732","283,568","283,173","282,404","281,187","280,840","279,654","276,584","274,763"
16.0,ลพบุรี,"757,970","758,406","758,655","757,321","757,273","758,733","755,556","742,928","739,473"
17.0,สิงห์บุรี,"212,690","212,158","211,426","210,588","210,088","209,377","208,446","205,898","204,526"
18.0,ชัยนาท,"332,769","332,283","331,655","330,431","329,722","328,263","326,611","322,477","320,432"
19.0,สระบุรี,"629,216","633,460","637,673","640,065","642,040","645,024","645,911","643,828","643,963"
20.0,ชลบุรี,"1,390,354","1,421,425","1,455,039","1,483,049","1,509,125","1,535,445","1,558,301","1,566,885","1,583,672"
21.0,ระยอง,"661,220","674,393","688,999","700,223","711,236","723,316","734,753","741,524","751,343"
22.0,จันทบุรี,"524,260","527,350","531,037","532,466","534,459","536,496","537,698","535,559","536,557"
23.0,ตราด,"224,010","224,730","229,435","229,437","229,649","229,914","229,958","228,536","228,376"
24.0,ฉะเชิงเทรา,"690,226","695,478","700,902","704,399","709,889","715,009","720,113","720,718","724,178"
25.0,ปราจีนบุรี,"476,167","479,314","482,195","484,829","487,544","491,640","494,680","493,670","495,325"
26.0,นครนายก,"256,085","257,300","258,577","258,358","259,342","260,093","260,751","260,081","260,433"
27.0,สระแก้ว,"550,937","552,187","556,922","559,017","561,938","564,092","566,303","560,925","561,992"
30.0,นครราชสีมา,"2,610,164","2,620,517","2,628,818","2,631,435","2,639,226","2,646,401","2,648,927","2,633,207","2,634,154"
31.0,บุรีรัมย์,"1,573,438","1,579,248","1,584,661","1,587,897","1,591,905","1,594,850","1,595,747","1,581,184","1,579,805"
32.0,สุรินทร์,"1,388,194","1,391,636","1,395,024","1,395,567","1,397,180","1,397,857","1,396,831","1,378,221","1,376,230"
33.0,ศรีสะเกษ,"1,462,028","1,465,213","1,468,798","1,470,341","1,472,031","1,473,011","1,472,859","1,458,580","1,457,556"
34.0,อุบลราชธานี,"1,836,523","1,844,669","1,857,429","1,862,965","1,869,633","1,874,548","1,878,146","1,866,697","1,868,519"
35.0,ยโสธร,"540,383","540,211","540,182","539,815","539,542","538,729","537,299","534,500","533,394"
36.0,ชัยภูมิ,"1,135,723","1,137,049","1,138,252","1,138,199","1,139,356","1,138,777","1,137,357","1,124,924","1,122,265"
37.0,อำนาจเจริญ,"374,698","375,380","376,382","377,120","378,107","378,621","378,438","376,195","376,350"
38.0,บึงกาฬ,"416,236","418,566","420,647","421,625","423,032","423,940","424,091","422,042","421,995"
39.0,หนองบัวลำภู,"507,137","508,864","510,074","510,734","511,641","512,117","512,780","509,470","509,001"
40.0,ขอนแก่น,"1,781,655","1,790,049","1,798,014","1,801,753","1,805,910","1,805,895","1,802,872","1,794,531","1,790,863"
41.0,อุดรธานี,"1,563,964","1,570,300","1,575,152","1,578,783","1,583,092","1,586,666","1,586,646","1,567,983","1,566,510"
42.0,เลย,"632,205","634,513","638,819","639,801","641,666","642,773","642,950","638,736","638,732"
43.0,หนองคาย,"514,943","517,260","519,580","520,363","521,886","522,103","522,311","517,435","516,843"
44.0,มหาสารคาม,"955,644","960,588","964,596","963,484","963,072","963,047","962,665","953,660","948,310"
45.0,ร้อยเอ็ด,"1,308,958","1,308,318","1,308,166","1,307,982","1,307,911","1,307,208","1,305,211","1,298,640","1,296,013"
46.0,กาฬสินธุ์,"984,030","984,907","985,203","985,232","986,005","985,346","983,418","977,175","975,570"
47.0,สกลนคร,"1,134,322","1,138,609","1,142,737","1,145,949","1,149,472","1,152,282","1,153,390","1,146,936","1,146,286"
48.0,นครพนม,"710,860","713,341","715,399","716,873","718,028","718,786","719,136","717,201","717,040"
49.0,มุกดาหาร,"344,302","346,016","348,101","349,474","350,782","352,282","353,174","350,911","351,484"
50.0,เชียงใหม่,"1,666,888","1,678,284","1,728,242","1,735,762","1,746,840","1,763,742","1,779,254","1,784,370","1,789,385"
51.0,ลำพูน,"405,268","405,468","406,385","405,999","405,918","405,955","405,075","402,011","401,139"
52.0,ลำปาง,"754,862","753,013","752,356","748,850","746,547","742,883","738,316","728,964","724,678"
53.0,อุตรดิตถ์,"460,995","460,400","459,768","458,197","457,092","455,403","453,103","448,745","446,148"
54.0,แพร่,"456,074","454,083","452,346","449,810","447,564","445,090","441,726","437,350","434,580"
55.0,น่าน,"477,912","478,264","479,518","479,916","479,838","478,989","478,227","476,727","475,875"
56.0,พะเยา,"486,744","484,454","482,645","479,188","477,100","475,215","472,356","467,356","464,505"
57.0,เชียงราย,"1,204,660","1,207,699","1,277,950","1,282,544","1,287,615","1,292,130","1,298,304","1,295,026","1,298,425"
58.0,แม่ฮ่องสอน,"246,549","248,178","273,764","275,884","279,088","282,566","284,138","284,549","285,916"
