ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,ชาย < 1 ปี,หญิง < 1 ปี,ชาย 1 ปี,หญิง 1 ปี,ชาย 2 ปี,หญิง 2 ปี,ชาย 3 ปี,หญิง 3 ปี,ชาย 4 ปี,หญิง 4 ปี,ชาย 5 ปี,หญิง 5 ปี,ชาย 6 ปี,หญิง 6 ปี,ชาย 7 ปี,หญิง 7 ปี,ชาย 8 ปี,หญิง 8 ปี,ชาย 9 ปี,หญิง 9 ปี,ชาย 10 ปี,หญิง 10 ปี,ชาย 11 ปี,หญิง 11 ปี,ชาย 12 ปี,หญิง 12 ปี,ชาย 13 ปี,หญิง 13 ปี,ชาย 14 ปี,หญิง 14 ปี,ชาย 15 ปี,หญิง 15 ปี,ชาย 16 ปี,หญิง 16 ปี,ชาย 17 ปี,หญิง 17 ปี,ชาย 18 ปี,หญิง 18 ปี,ชาย 19 ปี,หญิง 19 ปี,ชาย 20 ปี,หญิง 20 ปี,ชาย 21 ปี,หญิง 21 ปี,ชาย 22 ปี,หญิง 22 ปี,ชาย 23 ปี,หญิง 23 ปี,ชาย 24 ปี,หญิง 24 ปี,ชาย 25 ปี,หญิง 25 ปี,ชาย 26 ปี,หญิง 26 ปี,ชาย 27 ปี,หญิง 27 ปี,ชาย 28 ปี,หญิง 28 ปี,ชาย 29 ปี,หญิง 29 ปี,ชาย 30 ปี,หญิง 30 ปี,ชาย 31 ปี,หญิง 31 ปี,ชาย 32 ปี,หญิง 32 ปี,ชาย 33 ปี,หญิง 33 ปี,ชาย 34 ปี,หญิง 34 ปี,ชาย 35 ปี,หญิง 35 ปี,ชาย 36 ปี,หญิง 36 ปี,ชาย 37 ปี,หญิง 37 ปี,ชาย 38 ปี,หญิง 38 ปี,ชาย 39 ปี,หญิง 39 ปี,ชาย 40 ปี,หญิง 40 ปี,ชาย 41 ปี,หญิง 41 ปี,ชาย 42 ปี,หญิง 42 ปี,ชาย 43 ปี,หญิง 43 ปี,ชาย 44 ปี,หญิง 44 ปี,ชาย 45 ปี,หญิง 45 ปี,ชาย 46 ปี,หญิง 46 ปี,ชาย 47 ปี,หญิง 47 ปี,ชาย 48 ปี,หญิง 48 ปี,ชาย 49 ปี,หญิง 49 ปี,ชาย 50 ปี,หญิง 50 ปี,ชาย 51 ปี,หญิง 51 ปี,ชาย 52 ปี,หญิง 52 ปี,ชาย 53 ปี,หญิง 53 ปี,ชาย 54 ปี,หญิง 54 ปี,ชาย 55 ปี,หญิง 55 ปี,ชาย 56 ปี,หญิง 56 ปี,ชาย 57 ปี,หญิง 57 ปี,ชาย 58 ปี,หญิง 58 ปี,ชาย 59 ปี,หญิง 59 ปี,ชาย 60 ปี,หญิง 60 ปี,ชาย 61 ปี,หญิง 61 ปี,ชาย 62 ปี,หญิง 62 ปี,ชาย 63 ปี,หญิง 63 ปี,ชาย 64 ปี,หญิง 64 ปี,ชาย 65 ปี,หญิง 65 ปี,ชาย 66 ปี,หญิง 66 ปี,ชาย 67 ปี,หญิง 67 ปี,ชาย 68 ปี,หญิง 68 ปี,ชาย 69 ปี,หญิง 69 ปี,ชาย 70 ปี,หญิง 70 ปี,ชาย 71 ปี,หญิง 71 ปี,ชาย 72 ปี,หญิง 72 ปี,ชาย 73 ปี,หญิง 73 ปี,ชาย 74 ปี,หญิง 74 ปี,ชาย 75 ปี,หญิง 75 ปี,ชาย 76 ปี,หญิง 76 ปี,ชาย 77 ปี,หญิง 77 ปี,ชาย 78 ปี,หญิง 78 ปี,ชาย 79 ปี,หญิง 79 ปี,ชาย 80 ปี,หญิง 80 ปี,ชาย 81 ปี,หญิง 81 ปี,ชาย 82 ปี,หญิง 82 ปี,ชาย 83 ปี,หญิง 83 ปี,ชาย 84 ปี,หญิง 84 ปี,ชาย 85 ปี,หญิง 85 ปี,ชาย 86 ปี,หญิง 86 ปี,ชาย 87 ปี,หญิง 87 ปี,ชาย 88 ปี,หญิง 88 ปี,ชาย 89 ปี,หญิง 89 ปี,ชาย 90 ปี,หญิง 90 ปี,ชาย 91 ปี,หญิง 91 ปี,ชาย 92 ปี,หญิง 92 ปี,ชาย 93 ปี,หญิง 93 ปี,ชาย 94 ปี,หญิง 94 ปี,ชาย 95 ปี,หญิง 95 ปี,ชาย 96 ปี,หญิง 96 ปี,ชาย 97 ปี,หญิง 97 ปี,ชาย 98 ปี,หญิง 98 ปี,ชาย 99 ปี,หญิง 99 ปี,ชาย 100 ปี,หญิง 100 ปี,ชาย > 100 ปี,หญิง > 100 ปี,ชายเกิดปีจันทรคติ,หญิงเกิดปีจันทรคติ,ผลรวมประชากรที่เกิดปีจันทรคติ,จำนวนประชากรชายที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรหญิงที่มีชื่ออยู่ในทะเบียนบ้านกลาง,ผลรวมประชากรที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรชายที่มิใช่สัญชาติไทย,จำนวนประชากรหญิงที่มิใช่สัญชาติไทย,ผลรวมประชากรที่มิใช่สัญชาติไทย,จำนวนประชากรชายที่อยู่ระหว่างการย้าย,จำนวนประชากรหญิงที่อยู่ระหว่างการย้าย,ผลรวมประชากรที่อยู่ระหว่างการย้าย,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด
6312,0,ทั่วประเทศ,,,0,,0,,"278,693","262,330","301,939","286,082","320,369","302,149","338,053","318,294","340,945","322,615","353,463","335,760","375,040","354,346","383,570","361,934","410,258","388,036","401,964","379,583","387,785","367,387","399,829","377,377","402,310","380,032","410,843","388,678","407,409","384,728","411,464","390,717","416,118","395,489","404,493","383,881","405,664","385,899","406,621","387,182","427,429","409,256","422,886","407,520","451,849","436,707","488,192","472,522","499,098","482,703","492,927","478,790","477,257","461,889","479,492","466,523","486,626","474,271","483,487","470,878","476,004","466,034","456,504","446,880","446,299","437,761","442,360","438,289","457,252","453,300","474,352","471,402","476,058","475,162","486,151","487,916","502,334","506,001","502,166","506,376","511,912","517,225","511,209","520,191","492,335","505,362","515,244","531,810","506,857","527,618","495,724","518,813","502,347","530,051","489,398","520,499","501,894","539,347","506,259","549,755","494,773","537,244","483,569","531,764","498,047","550,804","474,908","524,759","460,326","516,359","464,654","522,130","458,596","521,275","430,048","485,430","418,061","471,771","396,676","451,000","390,911","452,861","372,448","431,653","338,295","397,883","324,086","382,824","297,689","349,252","274,424","326,714","276,801","336,256","254,025","310,601","247,619","302,163","229,945","283,443","215,678","269,190","205,791","259,908","181,299","227,991","161,760","205,177","145,132","187,180","127,060","166,433","120,015","156,396","109,114","145,875","101,527","138,192","98,146","136,513","83,126","119,328","82,364","118,621","75,954","111,838","65,459","100,311","58,222","90,302","50,667","81,416","43,798","69,936","37,922","63,123","32,804","54,795","26,023","45,215","21,275","37,538","17,397","31,100","14,319","25,417","11,667","20,915","8,478","15,321","6,654","11,885","4,845","8,237","4,151","6,429","3,267","5,032","2,841","4,162","2,538","3,520","7,365","9,341",21,26,47,"229,453","164,394","393,847","396,368","360,539","756,907","18,399","10,063","28,462","32,375,532","33,811,195","66,186,727"
6312,10,กรุงเทพมหานคร,,,0,,0,,"18,023","16,785","20,327","19,104","21,425","20,378","22,634","21,755","23,329","22,175","24,381","23,364","26,068","24,649","26,648","25,030","28,669","27,657","27,679","26,488","27,423","26,034","28,470","27,348","29,147","27,925","30,569","29,188","30,212","28,927","30,499","29,628","31,443","30,443","31,155","30,196","31,020","30,602","30,799","30,568","34,149","33,580","35,939","31,790","39,263","33,306","40,016","38,423","39,978","39,256","40,192","40,633","37,939","38,376","37,773","38,695","37,784","39,234","37,567","39,141","37,349","39,361","35,714","37,785","36,193","38,724","34,034","36,926","35,649","39,174","37,458","41,880","38,119","42,607","39,280","44,634","40,130","46,473","41,352","47,472","42,641","48,961","42,826","49,025","40,788","47,784","41,361","48,531","41,302","48,521","39,811","46,811","39,364","46,720","38,302","45,564","39,715","47,460","40,696","48,862","39,826","47,911","38,987","47,334","40,069","48,462","38,752","46,630","37,244","45,659","38,280","47,003","38,451","47,177","36,757","45,528","35,533","44,512","34,338","42,771","34,022","43,580","31,963","41,523","29,582","38,414","28,257","37,275","27,450","36,051","25,124","34,070","25,007","34,178","23,189","31,527","21,961","30,116","20,838","29,068","19,675","27,182","18,363","25,930","16,081","22,846","14,223","20,111","12,472","18,122","11,357","16,681","10,668","15,781","9,957","14,868","8,927","13,655","8,820","13,757","7,257","11,102","7,569","12,196","6,886","11,130","6,184","9,969","5,624","9,347","4,733","8,083","4,150","7,148","3,409","6,015","3,110","5,666","2,430","4,597","1,965","3,783","1,606","3,212","1,298","2,624","1,062","2,234",868,"1,700",663,"1,241",552,929,457,769,375,587,323,492,320,373,"1,033","1,170",1,0,1,"55,031","43,594","98,625","28,161","20,820","48,981","2,094","1,828","3,922","2,625,938","2,962,284","5,588,222"
6312,11,จังหวัดสมุทรปราการ,,,0,,0,,"5,759","5,391","6,329","5,846","6,621","6,144","6,910","6,480","7,052","6,667","7,263","6,860","7,621","7,350","7,849","7,053","8,341","7,893","7,876","7,407","7,571","7,129","7,815","7,395","7,930","7,633","8,074","7,528","7,846","7,544","7,992","7,715","8,154","7,979","7,829","7,547","7,771","7,737","7,829","7,597","8,461","8,014","7,708","7,952","7,697","8,460","9,234","9,829","9,519","9,994","9,836","10,182","9,180","9,847","9,448","9,948","9,627","10,128","9,661","10,131","9,353","10,045","9,074","9,837","8,841","9,649","8,549","9,514","9,285","10,056","9,776","10,898","9,821","10,914","10,411","11,829","11,149","12,157","11,376","12,165","11,649","12,666","11,380","12,394","10,954","11,957","11,267","12,219","10,917","12,016","10,299","11,621","10,182","11,763","9,724","11,226","10,334","11,666","10,820","12,241","10,379","11,718","10,234","11,473","10,270","11,686","10,075","11,237","9,404","10,617","9,678","11,029","9,222","10,568","8,498","10,279","8,448","10,009","7,705","9,391","7,737","9,282","7,157","8,695","6,292","7,938","6,023","7,641","5,349","6,714","4,971","6,655","5,118","6,830","4,747","6,408","4,421","5,857","4,106","5,502","3,762","5,207","3,713","5,062","3,063","4,016","2,611","3,472","2,360","3,219","2,062","3,126","1,954","2,758","1,853","2,635","1,594","2,363","1,632","2,493","1,297","1,999","1,306","2,126","1,179","1,917","1,033","1,686",991,"1,559",746,"1,282",691,"1,077",557,961,491,875,416,700,310,600,275,560,227,434,203,359,127,241,108,200,78,170,84,133,52,112,54,76,54,59,220,218,0,1,1,"10,525","9,239","19,764","2,660","2,025","4,685",430,261,691,"644,516","706,963","1,351,479"
6312,12,จังหวัดนนทบุรี,,,0,,0,,"4,747","4,433","5,167","4,970","5,343","5,223","5,707","5,505","5,880","5,539","6,017","5,799","6,248","5,989","6,560","6,079","6,956","6,608","6,786","6,379","6,326","6,134","6,675","6,308","6,768","6,371","7,146","6,600","6,814","6,558","7,089","6,643","7,097","6,615","6,783","6,682","6,685","6,625","6,666","6,672","7,027","6,992","6,680","6,875","7,174","7,515","8,223","8,507","8,590","8,936","8,738","8,976","8,329","8,735","8,378","9,111","8,510","9,301","8,523","9,248","8,314","9,493","8,216","9,212","8,284","9,142","7,873","9,001","8,371","9,689","8,797","10,182","9,095","10,268","9,250","11,055","9,831","11,523","9,988","11,526","10,277","12,212","10,077","11,799","9,868","11,460","9,963","11,706","9,686","11,597","9,409","11,318","9,297","11,119","8,927","10,881","9,383","11,477","9,708","11,865","9,314","11,425","9,427","11,519","9,289","11,556","9,263","11,385","8,623","10,980","9,153","11,601","8,844","11,709","8,397","10,588","8,346","10,698","7,790","10,352","7,967","10,393","7,396","9,658","6,800","8,914","6,404","8,605","6,281","8,089","5,726","7,669","5,373","7,370","4,794","6,917","4,563","6,490","4,416","6,224","4,075","5,722","3,804","5,609","3,284","4,587","2,843","4,132","2,747","4,022","2,289","3,518","2,212","3,315","1,945","2,969","1,762","2,820","1,941","2,850","1,408","2,351","1,515","2,477","1,366","2,264","1,277","2,052","1,205","1,945",979,"1,630",829,"1,392",664,"1,185",583,"1,071",492,867,356,732,300,630,248,508,167,418,142,311,111,219,115,185,93,129,65,105,59,89,48,52,180,201,0,2,2,"11,743","4,959","16,702","2,721","2,253","4,974",328,271,599,"594,308","682,437","1,276,745"
6312,13,จังหวัดปทุมธานี,,,0,,0,,"5,007","4,657","5,438","5,123","5,724","5,427","6,366","5,794","6,061","5,917","6,418","6,026","6,589","6,302","6,713","6,272","7,336","6,931","7,007","6,559","6,886","6,329","7,007","6,501","7,005","6,768","7,323","6,918","7,385","6,974","7,320","6,839","7,063","7,135","6,988","6,794","6,967","6,983","6,934","7,231","7,143","8,131","7,197","7,853","7,467","8,299","8,337","8,754","8,496","9,117","8,408","8,832","8,089","8,465","8,009","8,413","8,431","8,729","8,093","8,756","7,776","8,669","7,790","8,332","7,374","8,250","7,329","8,372","7,894","8,974","8,297","9,370","8,412","9,282","8,949","9,923","9,403","10,534","9,526","10,870","9,671","11,337","10,038","11,162","9,558","11,014","9,775","11,051","9,739","11,108","9,185","10,698","9,435","10,789","9,077","10,342","9,302","10,855","9,606","11,188","9,420","10,822","9,091","10,536","9,345","10,917","8,673","10,062","8,410","9,972","8,450","9,905","7,996","9,615","7,357","8,728","7,239","8,643","6,438","7,886","6,556","7,996","6,070","7,490","5,353","6,554","5,085","6,295","4,604","5,761","4,201","5,128","4,247","5,612","3,910","5,074","3,598","4,776","3,421","4,456","3,111","4,104","2,935","3,902","2,543","3,378","2,202","3,009","1,985","2,724","1,718","2,417","1,635","2,290","1,500","2,088","1,242","1,851","1,324","1,967","1,026","1,631","1,035","1,573","1,031","1,480",837,"1,368",824,"1,213",627,971,496,873,452,754,379,627,269,506,244,439,186,340,147,284,119,271,80,193,75,154,47,114,35,70,44,70,23,37,29,44,94,137,0,1,1,"5,874","4,673","10,547","2,429","1,686","4,115",348,244,592,"557,752","618,660","1,176,412"
6312,14,จังหวัดพระนครศรีอยุธยา,,,0,,0,,"3,450","3,264","3,695","3,514","3,869","3,667","4,049","3,735","4,001","3,698","4,082","3,983","4,414","4,261","4,507","4,293","4,854","4,549","4,844","4,493","4,617","4,261","4,742","4,524","4,888","4,667","5,181","4,654","4,795","4,615","4,887","4,654","5,044","4,634","4,885","4,705","4,897","4,497","4,757","4,464","4,762","4,620","4,569","4,620","4,861","5,098","5,799","5,745","5,944","5,698","5,906","5,830","5,708","5,589","5,473","5,614","5,856","5,786","5,859","5,789","5,622","5,435","5,479","5,553","5,325","5,259","5,392","5,435","5,666","5,905","5,957","5,993","6,018","6,082","6,180","6,343","6,465","6,659","6,502","6,725","6,546","6,986","6,644","6,916","6,350","6,682","6,757","7,090","6,452","6,887","6,272","6,652","6,073","6,628","5,966","6,369","6,110","6,889","6,281","6,811","6,097","6,744","6,115","7,066","6,311","7,188","5,888","6,651","6,024","6,745","6,200","7,203","5,835","6,879","5,452","6,435","5,401","6,504","4,985","5,991","5,051","6,224","4,636","5,648","4,148","5,104","3,951","4,872","3,583","4,338","3,232","3,967","3,617","4,598","3,168","4,157","3,166","4,106","2,990","3,740","2,713","3,801","2,531","3,428","2,225","2,976","1,917","2,643","1,788","2,547","1,590","2,323","1,525","2,172","1,425","2,091","1,266","1,876","1,330","2,168","1,113","1,864","1,134","1,840","1,050","1,731",921,"1,569",976,"1,520",852,"1,362",643,"1,138",566,"1,084",482,836,397,730,334,619,251,547,219,433,204,365,137,247,118,211,81,150,83,108,46,103,53,63,45,31,110,146,0,0,0,"1,318","1,034","2,352",850,682,"1,532",156,119,275,"393,551","425,537","819,088"
6312,15,จังหวัดอ่างทอง,,,0,,0,,959,888,"1,072","1,007","1,069","1,038","1,192","1,123","1,183","1,164","1,226","1,235","1,421","1,223","1,434","1,343","1,491","1,452","1,500","1,405","1,475","1,480","1,543","1,457","1,552","1,485","1,640","1,496","1,603","1,467","1,590","1,496","1,654","1,560","1,639","1,497","1,617","1,503","1,663","1,444","1,616","1,550","1,515","1,559","1,495","1,713","1,862","1,892","1,907","1,911","1,965","1,820","1,893","1,848","1,914","1,936","1,957","1,866","1,867","1,860","1,898","1,820","1,823","1,754","1,796","1,653","1,794","1,647","1,802","1,774","1,992","1,840","1,959","1,845","1,958","1,933","2,033","1,937","1,922","1,885","1,978","2,049","2,031","2,088","2,000","1,974","2,111","2,144","2,006","2,161","1,983","2,100","1,946","2,032","1,844","1,890","1,967","2,088","2,025","2,146","1,992","2,157","2,087","2,283","2,043","2,404","1,995","2,210","2,029","2,398","2,231","2,782","2,230","2,624","2,058","2,372","1,978","2,455","1,891","2,235","1,866","2,361","1,770","2,227","1,595","1,981","1,598","1,924","1,331","1,693","1,310","1,767","1,343","1,762","1,243","1,613","1,317","1,779","1,179","1,696","1,138","1,461","1,054","1,418",944,"1,320",796,"1,111",746,"1,034",617,974,541,804,617,868,485,734,534,919,449,773,465,778,444,775,424,702,398,626,348,591,258,444,239,435,196,333,156,329,120,278,105,218,71,162,53,131,50,118,30,61,32,56,14,45,14,33,6,21,7,16,11,30,0,0,0,379,219,598,158,147,305,26,26,52,"132,393","144,191","276,584"
6312,16,จังหวัดลพบุรี,,,0,,0,,"2,801","2,726","3,068","2,846","3,142","3,098","3,361","3,297","3,521","3,259","3,452","3,387","3,793","3,419","3,868","3,614","4,066","3,978","4,261","3,832","4,018","3,796","4,199","3,907","4,265","3,971","4,411","4,005","4,276","4,083","4,440","4,127","4,519","4,376","4,361","4,002","4,330","4,030","4,375","4,025","4,641","4,218","8,702","4,276","10,425","4,658","6,992","5,176","6,204","5,103","5,709","5,018","5,396","4,891","5,227","4,823","5,326","5,086","5,323","5,052","5,311","5,096","5,102","4,735","4,859","4,608","4,967","4,584","5,003","5,009","5,331","4,930","5,160","4,862","5,255","5,095","5,325","5,355","5,178","5,071","5,277","5,112","5,329","5,397","5,242","5,128","5,306","5,611","5,475","5,671","5,463","5,573","5,383","5,482","5,122","5,361","5,189","5,725","5,393","6,208","5,390","6,007","5,271","5,925","5,836","6,562","5,461","6,225","5,526","6,390","5,714","6,595","5,624","6,585","4,960","6,036","5,296","5,961","5,067","5,762","5,000","5,647","4,812","5,420","4,169","4,838","4,134","4,568","3,671","4,265","3,309","3,939","3,373","4,185","3,138","3,862","3,083","3,701","2,822","3,540","2,684","3,324","2,559","3,210","2,135","2,881","2,006","2,506","1,917","2,304","1,658","2,225","1,614","1,916","1,365","1,842","1,299","1,812","1,320","1,816","1,157","1,675","1,062","1,613","1,040","1,520",898,"1,281",809,"1,241",744,"1,071",654,913,604,874,495,688,364,575,302,480,235,410,193,331,153,248,112,189,83,124,68,112,43,78,42,65,37,65,29,42,89,130,0,0,0,"3,826","1,051","4,877",457,381,838,306,73,379,"371,157","371,771","742,928"
6312,17,จังหวัดสิงห์บุรี,,,0,,0,,718,676,784,684,815,770,861,751,936,820,897,808,"1,012",914,998,908,"1,091","1,021","1,101","1,035","1,102","1,009","1,136","1,066","1,115","1,087","1,133","1,128","1,135","1,054","1,120","1,114","1,094","1,083","1,186","1,111","1,123","1,109","1,075","1,038","1,134","1,097","1,093","1,142","1,179","1,179","1,319","1,294","1,445","1,334","1,380","1,293","1,338","1,283","1,381","1,305","1,377","1,370","1,424","1,330","1,354","1,364","1,317","1,240","1,277","1,278","1,297","1,268","1,378","1,339","1,501","1,359","1,387","1,389","1,417","1,414","1,502","1,439","1,458","1,455","1,508","1,504","1,499","1,483","1,416","1,428","1,582","1,472","1,523","1,558","1,385","1,538","1,338","1,442","1,347","1,351","1,363","1,499","1,433","1,646","1,435","1,670","1,456","1,653","1,414","1,763","1,469","1,718","1,474","1,790","1,658","1,946","1,600","2,085","1,496","1,887","1,591","1,918","1,484","1,823","1,515","1,880","1,375","1,729","1,220","1,654","1,154","1,572","1,101","1,391",956,"1,302","1,101","1,541","1,070","1,348",980,"1,337",930,"1,293",883,"1,198",854,"1,251",753,"1,066",722,999,652,868,547,793,460,690,474,641,430,624,480,740,357,560,358,592,386,612,315,534,293,492,312,481,211,349,189,345,135,236,119,252,82,212,70,168,59,117,46,111,37,74,27,54,17,36,15,24,4,12,3,22,2,9,5,13,0,0,0,171,118,289,140,109,249,26,20,46,"97,897","108,001","205,898"
6312,18,จังหวัดชัยนาท,,,0,,0,,"1,087","1,067","1,179","1,131","1,295","1,204","1,449","1,283","1,407","1,340","1,476","1,439","1,584","1,488","1,648","1,559","1,751","1,677","1,766","1,659","1,808","1,577","1,767","1,694","1,785","1,626","1,889","1,745","1,832","1,765","1,827","1,767","1,819","1,770","1,796","1,643","1,732","1,654","1,712","1,693","1,833","1,775","1,760","1,774","1,747","1,963","2,084","2,057","2,232","2,065","2,200","2,126","2,098","2,018","2,266","2,066","2,338","2,238","2,211","2,254","2,195","2,106","2,094","2,001","2,004","1,908","1,932","1,888","2,004","1,939","2,208","2,077","2,128","1,980","2,185","2,227","2,246","2,287","2,276","2,115","2,297","2,259","2,311","2,324","2,232","2,240","2,348","2,449","2,469","2,508","2,410","2,545","2,347","2,418","2,346","2,401","2,338","2,435","2,438","2,504","2,415","2,723","2,422","2,653","2,507","2,674","2,369","2,836","2,438","2,875","2,687","3,092","2,559","2,970","2,382","2,801","2,443","2,771","2,339","2,960","2,119","2,726","2,163","2,733","1,881","2,355","1,936","2,416","1,707","2,074","1,529","2,041","1,749","2,257","1,561","2,078","1,587","2,043","1,411","1,840","1,391","1,878","1,323","1,834","1,228","1,567","1,049","1,307",893,"1,326",800,"1,114",749,"1,086",746,997,666,884,753,"1,020",591,890,589,824,529,842,492,743,440,737,382,649,335,504,271,458,201,349,191,314,142,286,109,214,83,195,77,138,54,84,25,70,26,58,24,37,13,26,5,24,9,12,16,26,0,0,0,259,184,443,141,117,258,21,24,45,"155,013","167,464","322,477"
