ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,ชาย < 1 ปี,หญิง < 1 ปี,ชาย 1 ปี,หญิง 1 ปี,ชาย 2 ปี,หญิง 2 ปี,ชาย 3 ปี,หญิง 3 ปี,ชาย 4 ปี,หญิง 4 ปี,ชาย 5 ปี,หญิง 5 ปี,ชาย 6 ปี,หญิง 6 ปี,ชาย 7 ปี,หญิง 7 ปี,ชาย 8 ปี,หญิง 8 ปี,ชาย 9 ปี,หญิง 9 ปี,ชาย 10 ปี,หญิง 10 ปี,ชาย 11 ปี,หญิง 11 ปี,ชาย 12 ปี,หญิง 12 ปี,ชาย 13 ปี,หญิง 13 ปี,ชาย 14 ปี,หญิง 14 ปี,ชาย 15 ปี,หญิง 15 ปี,ชาย 16 ปี,หญิง 16 ปี,ชาย 17 ปี,หญิง 17 ปี,ชาย 18 ปี,หญิง 18 ปี,ชาย 19 ปี,หญิง 19 ปี,ชาย 20 ปี,หญิง 20 ปี,ชาย 21 ปี,หญิง 21 ปี,ชาย 22 ปี,หญิง 22 ปี,ชาย 23 ปี,หญิง 23 ปี,ชาย 24 ปี,หญิง 24 ปี,ชาย 25 ปี,หญิง 25 ปี,ชาย 26 ปี,หญิง 26 ปี,ชาย 27 ปี,หญิง 27 ปี,ชาย 28 ปี,หญิง 28 ปี,ชาย 29 ปี,หญิง 29 ปี,ชาย 30 ปี,หญิง 30 ปี,ชาย 31 ปี,หญิง 31 ปี,ชาย 32 ปี,หญิง 32 ปี,ชาย 33 ปี,หญิง 33 ปี,ชาย 34 ปี,หญิง 34 ปี,ชาย 35 ปี,หญิง 35 ปี,ชาย 36 ปี,หญิง 36 ปี,ชาย 37 ปี,หญิง 37 ปี,ชาย 38 ปี,หญิง 38 ปี,ชาย 39 ปี,หญิง 39 ปี,ชาย 40 ปี,หญิง 40 ปี,ชาย 41 ปี,หญิง 41 ปี,ชาย 42 ปี,หญิง 42 ปี,ชาย 43 ปี,หญิง 43 ปี,ชาย 44 ปี,หญิง 44 ปี,ชาย 45 ปี,หญิง 45 ปี,ชาย 46 ปี,หญิง 46 ปี,ชาย 47 ปี,หญิง 47 ปี,ชาย 48 ปี,หญิง 48 ปี,ชาย 49 ปี,หญิง 49 ปี,ชาย 50 ปี,หญิง 50 ปี,ชาย 51 ปี,หญิง 51 ปี,ชาย 52 ปี,หญิง 52 ปี,ชาย 53 ปี,หญิง 53 ปี,ชาย 54 ปี,หญิง 54 ปี,ชาย 55 ปี,หญิง 55 ปี,ชาย 56 ปี,หญิง 56 ปี,ชาย 57 ปี,หญิง 57 ปี,ชาย 58 ปี,หญิง 58 ปี,ชาย 59 ปี,หญิง 59 ปี,ชาย 60 ปี,หญิง 60 ปี,ชาย 61 ปี,หญิง 61 ปี,ชาย 62 ปี,หญิง 62 ปี,ชาย 63 ปี,หญิง 63 ปี,ชาย 64 ปี,หญิง 64 ปี,ชาย 65 ปี,หญิง 65 ปี,ชาย 66 ปี,หญิง 66 ปี,ชาย 67 ปี,หญิง 67 ปี,ชาย 68 ปี,หญิง 68 ปี,ชาย 69 ปี,หญิง 69 ปี,ชาย 70 ปี,หญิง 70 ปี,ชาย 71 ปี,หญิง 71 ปี,ชาย 72 ปี,หญิง 72 ปี,ชาย 73 ปี,หญิง 73 ปี,ชาย 74 ปี,หญิง 74 ปี,ชาย 75 ปี,หญิง 75 ปี,ชาย 76 ปี,หญิง 76 ปี,ชาย 77 ปี,หญิง 77 ปี,ชาย 78 ปี,หญิง 78 ปี,ชาย 79 ปี,หญิง 79 ปี,ชาย 80 ปี,หญิง 80 ปี,ชาย 81 ปี,หญิง 81 ปี,ชาย 82 ปี,หญิง 82 ปี,ชาย 83 ปี,หญิง 83 ปี,ชาย 84 ปี,หญิง 84 ปี,ชาย 85 ปี,หญิง 85 ปี,ชาย 86 ปี,หญิง 86 ปี,ชาย 87 ปี,หญิง 87 ปี,ชาย 88 ปี,หญิง 88 ปี,ชาย 89 ปี,หญิง 89 ปี,ชาย 90 ปี,หญิง 90 ปี,ชาย 91 ปี,หญิง 91 ปี,ชาย 92 ปี,หญิง 92 ปี,ชาย 93 ปี,หญิง 93 ปี,ชาย 94 ปี,หญิง 94 ปี,ชาย 95 ปี,หญิง 95 ปี,ชาย 96 ปี,หญิง 96 ปี,ชาย 97 ปี,หญิง 97 ปี,ชาย 98 ปี,หญิง 98 ปี,ชาย 99 ปี,หญิง 99 ปี,ชาย 100 ปี,หญิง 100 ปี,ชาย > 100 ปี,หญิง > 100 ปี,ชายเกิดปีจันทรคติ,หญิงเกิดปีจันทรคติ,ผลรวมประชากรที่เกิดปีจันทรคติ,จำนวนประชากรชายที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรหญิงที่มีชื่ออยู่ในทะเบียนบ้านกลาง,ผลรวมประชากรที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรชายที่มิใช่สัญชาติไทย,จำนวนประชากรหญิงที่มิใช่สัญชาติไทย,ผลรวมประชากรที่มิใช่สัญชาติไทย,จำนวนประชากรชายที่อยู่ระหว่างการย้าย,จำนวนประชากรหญิงที่อยู่ระหว่างการย้าย,ผลรวมประชากรที่อยู่ระหว่างการย้าย,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด,year,< 1 yr,> 100 yrs, 1 yr,2 yrs,3 yrs,4 yrs,5 yrs,6 yrs,7 yrs,8 yrs,9 yrs,10 yrs,11 yrs,12 yrs,13 yrs,14 yrs,15 yrs,16 yrs,17 yrs,18 yrs,19 yrs,20 yrs,21 yrs,22 yrs,23 yrs,24 yrs,25 yrs,26 yrs,27 yrs,28 yrs,29 yrs,30 yrs,31 yrs,32 yrs,33 yrs,34 yrs,35 yrs,36 yrs,37 yrs,38 yrs,39 yrs,40 yrs,41 yrs,42 yrs,43 yrs,44 yrs,45 yrs,46 yrs,47 yrs,48 yrs,49 yrs,50 yrs,51 yrs,52 yrs,53 yrs,54 yrs,55 yrs,56 yrs,57 yrs,58 yrs,59 yrs,60 yrs,61 yrs,62 yrs,63 yrs,64 yrs,65 yrs,66 yrs,67 yrs,68 yrs,69 yrs,70 yrs,71 yrs,72 yrs,73 yrs,74 yrs,75 yrs,76 yrs,77 yrs,78 yrs,79 yrs,80 yrs,81 yrs,82 yrs,83 yrs,84 yrs,85 yrs,86 yrs,87 yrs,88 yrs,89 yrs,90 yrs,91 yrs,92 yrs,93 yrs,94 yrs,95 yrs,96 yrs,97 yrs,98 yrs,99 yrs,100 yrs
5612,0.0,ทั่วประเทศ,0.0,,0.0,,0.0,,358688,337792,403986,381248,398051,375237,385534,364561,397912,375230,400748,378104,409556,386930,406407,383071,411045,389337,415948,394217,404973,382568,406696,384919,408470,386541,430111,408996,430517,407095,458975,436538,497361,472529,507947,482773,501127,478838,484728,461741,487086,466804,485715,474799,488037,471952,477955,467285,460448,448212,451163,439309,447868,439978,463792,455385,481597,473834,483964,477963,494869,490780,512576,509372,512943,510193,524631,521653,524703,524866,506890,510387,531850,537555,523938,533859,513608,525396,521350,537073,509233,528177,523332,547729,528709,559274,518048,547238,507596,542274,524131,562662,501028,536926,487385,529473,493556,536308,489156,536466,460723,500838,449392,487582,428114,467015,424531,470296,406754,449177,371157,415439,357658,401119,329641,367330,306481,345823,311844,358194,288864,332784,283600,326226,266049,307934,252741,295166,243889,287500,217948,255118,198048,232299,180508,214751,160830,193962,155095,184529,144073,174909,137429,168659,135809,170309,119266,153024,121157,155122,115899,150693,103800,139597,95992,131301,86931,123422,79580,110955,72996,105675,66574,96766,55451,84277,48659,74755,42415,66022,37180,58861,31550,51395,24525,41092,20686,34925,15644,26826,13141,22189,10680,18762,8616,14855,7162,12284,5083,8948,3910,6483,3662,6077,3049,4868,2529,4134,1957,2717,1666,2341,7314,9632,215.0,227.0,442.0,"351,595","285,808","637,403","183,074","159,634","342,708","96,898","57,865","154,763","31,845,971","32,939,938","64,785,909",2013,696480,16946,785234,773288,750095,773142,778852,796486,789478,800382,810165,787541,791615,795011,839107,837612,895513,969890,990720,979965,946469,953890,960514,959989,945240,908660,890472,887846,919177,955431,961927,985649,1021948,1023136,1046284,1049569,1017277,1069405,1057797,1039004,1058423,1037410,1071061,1087983,1065286,1049870,1086793,1037954,1016858,1029864,1025622,961561,936974,895129,894827,855931,786596,758777,696971,652304,670038,621648,609826,573983,547907,531389,473066,430347,395259,354792,339624,318982,306088,306118,272290,276279,266592,243397,227293,210353,190535,178671,163340,139728,123414,108437,96041,82945,65617,55611,42470,35330,29442,23471,19446,14031,10393,9739,7917,6663,4674,4007
5612,10.0,กรุงเทพมหานคร,0.0,,0.0,,0.0,,24126,22470,28220,26890,27223,25823,27192,25474,28582,27145,29426,28122,31343,29489,31169,29434,31805,30342,32827,31254,33005,31299,33251,32092,33287,32331,36925,35620,34611,33949,36629,35491,41546,40682,42327,41103,42020,41787,39004,38749,38644,38684,42631,38710,43595,38272,37785,38008,35864,36300,36084,36840,34057,35195,35505,37275,37670,39744,38322,40814,39799,43204,40886,45216,42346,46903,44065,49270,44607,49750,42965,49011,43725,50476,43897,50710,42381,49230,42151,49339,41014,48188,42733,50391,43993,52111,43332,51284,42428,50758,43949,52192,42623,50520,41179,49600,42443,50979,42968,51017,41338,49462,40070,48588,39254,46725,39323,47629,37714,45344,34861,41831,33692,40595,32488,39134,29853,37021,29737,37447,27709,34561,26040,33115,24814,32043,23526,30195,22255,28892,19564,25532,17506,22611,15552,20611,14189,19130,13476,18306,12857,17359,11723,16152,11811,16557,9987,13800,10494,15244,9950,14266,9152,13168,8582,12754,7267,11479,6694,10447,5925,9230,5468,9049,4415,7702,3873,6639,3238,6044,2823,5307,2324,4673,1924,3783,1617,3081,1272,2522,1084,2114,870,1708,688,1314,621,1017,501,792,350,643,369,554,314,503,243,402,238,313,184,261,1059,1432,24.0,38.0,62.0,"50,799","40,269","91,068","25,109","19,225","44,334","19,952","13,181","33,133","2,694,921","2,991,331","5,686,252",2013,46596,2491,55110,53046,52666,55727,57548,60832,60603,62147,64081,64304,65343,65618,72545,68560,72120,82228,83430,83807,77753,77328,81341,81867,75793,72164,72924,69252,72780,77414,79136,83003,86102,89249,93335,94357,91976,94201,94607,91611,91490,89202,93124,96104,94616,93186,96141,93143,90779,93422,93985,90800,88658,85979,86952,83058,76692,74287,71622,66874,67184,62270,59155,56857,53721,51147,45096,40117,36163,33319,31782,30216,27875,28368,23787,25738,24216,22320,21336,18746,17141,15155,14517,12117,10512,9282,8130,6997,5707,4698,3794,3198,2578,2002,1638,1293,993,923,817,645,551,445
5612,11.0,สมุทรปราการ,0.0,,0.0,,0.0,,6976,6362,7867,7464,7592,6964,7233,6768,7477,7066,7654,7308,7814,7180,7554,7103,7672,7391,7859,7533,7690,7178,7585,7412,7702,7377,8351,7892,8144,7824,8448,8211,9539,9528,9470,9439,9510,9317,8777,8833,8877,8692,8291,8649,7723,8407,7897,8245,7743,8098,7430,7894,7170,7773,7981,8546,8356,9088,8422,9180,8990,10085,9914,10657,10096,10773,10650,11483,10541,11563,10522,11321,10899,11769,10739,11821,10354,11475,10345,11659,9923,11151,10507,11706,11223,12399,10828,11846,10689,11710,10824,11841,10656,11461,10138,10903,10329,11375,9881,10880,9281,10439,9206,10269,8350,9573,8473,9543,7855,8863,6946,8148,6589,7793,5956,6912,5587,6900,5758,7134,5355,6730,5058,6194,4789,5889,4393,5544,4296,5435,3619,4422,3192,3796,2905,3593,2593,3560,2487,3123,2407,3055,2090,2803,2223,3044,1841,2471,1910,2690,1761,2508,1601,2273,1547,2143,1191,1864,1153,1641,995,1567,885,1439,822,1291,633,1057,552,1093,491,909,411,807,312,577,259,540,213,453,181,359,147,316,113,240,101,196,94,161,68,97,72,124,57,93,47,71,53,66,25,50,269,390,4.0,5.0,9.0,"5,704","4,220","9,924","2,096","1,394","3,490","2,876","2,399","5,275","596,744","644,866","1,241,610",2013,13338,659,15331,14556,14001,14543,14962,14994,14657,15063,15392,14868,14997,15079,16243,15968,16659,19067,18909,18827,17610,17569,16940,16130,16142,15841,15324,14943,16527,17444,17602,19075,20571,20869,22133,22104,21843,22668,22560,21829,22004,21074,22213,23622,22674,22399,22665,22117,21041,21704,20761,19720,19475,17923,18016,16718,15094,14382,12868,12487,12892,12085,11252,10678,9937,9731,8041,6988,6498,6153,5610,5462,4893,5267,4312,4600,4269,3874,3690,3055,2794,2562,2324,2113,1690,1645,1400,1218,889,799,666,540,463,353,297,255,165,196,150,118,119,75
5612,12.0,นนทบุรี,0.0,,0.0,,0.0,,5611,5117,6452,6108,6402,5925,6045,5860,6349,5974,6469,6016,6766,6225,6561,6224,6744,6251,6683,6174,6519,6204,6469,6114,6560,6451,6976,6740,6760,6640,7289,7195,8130,7894,8363,8178,8248,7798,7645,7404,7377,7474,6800,7497,6658,7351,6617,7449,6580,7156,6670,7007,6291,6833,6709,7444,7282,8040,7500,8257,7879,9100,8462,9817,8778,10034,9231,10812,9264,10781,9238,10709,9428,10956,9273,11052,9086,10836,9067,10882,8868,10748,9354,11290,9692,11711,9489,11298,9553,11367,9458,11487,9371,11179,8936,10901,9428,11398,9068,11509,8590,10531,8511,10549,7999,10129,8240,10202,7537,9476,7018,8773,6634,8478,6511,8071,5971,7667,5731,7407,5176,7013,5021,6640,4852,6357,4479,5928,4238,5778,3686,4822,3272,4347,3230,4278,2803,3846,2686,3638,2480,3324,2284,3194,2597,3268,2058,2779,2208,2931,2058,2750,2074,2536,2049,2541,1803,2219,1550,2004,1383,1713,1373,1608,1184,1446,1018,1249,936,1133,823,1037,690,887,591,750,543,550,478,498,394,418,312,321,279,260,238,187,197,181,160,102,151,129,157,84,118,75,112,54,114,48,596,110,3.0,5.0,8.0,"5,243","4,428","9,671","1,609","1,058","2,667","1,700","1,401","3,101","542,196","614,075","1,156,271",2013,10728,706,12560,12327,11905,12323,12485,12991,12785,12995,12857,12723,12583,13011,13716,13400,14484,16024,16541,16046,15049,14851,14297,14009,14066,13736,13677,13124,14153,15322,15757,16979,18279,18812,20043,20045,19947,20384,20325,19922,19949,19616,20644,21403,20787,20920,20945,20550,19837,20826,20577,19121,19060,18128,18442,17013,15791,15112,14582,13638,13138,12189,11661,11209,10407,10016,8508,7619,7508,6649,6324,5804,5478,5865,4837,5139,4808,4610,4590,4022,3554,3096,2981,2630,2267,2069,1860,1577,1341,1093,976,812,633,539,425,378,262,280,241,193,166,162
5612,13.0,ปทุมธานี,0.0,,0.0,,0.0,,5844,5406,6828,6424,6572,6135,6651,6185,6752,6422,6897,6461,7072,6606,7003,6501,6915,6293,6663,6514,6554,6093,6415,6211,6424,6045,6789,6673,6611,6261,6951,6806,7836,7583,7852,7802,7802,8125,7656,8446,7425,8450,7818,8626,7009,7772,6612,7101,6384,6670,6021,6653,5958,6612,6442,7197,6855,7535,7085,7752,7576,8418,8123,9133,8423,9645,8823,10323,9121,10411,8997,10434,9283,10817,9346,10897,8966,10436,9156,10641,8979,10185,9276,10816,9663,11132,9548,10800,9230,10506,9588,10932,8959,10022,8549,9982,8577,9858,8248,9604,7672,8678,7493,8576,6690,7739,6693,7838,6089,7329,5527,6530,5193,6242,4723,5709,4310,5107,4478,5632,4173,5151,3953,4966,3834,4650,3555,4287,3359,4139,2937,3606,2595,3265,2344,2963,2099,2669,2015,2578,1899,2441,1663,2156,1825,2362,1427,1974,1496,1976,1462,1908,1271,1790,1301,1623,1024,1435,905,1289,800,1211,722,1047,552,931,505,846,427,714,358,628,319,588,227,457,213,409,156,335,143,229,128,223,60,155,70,137,46,129,37,87,32,74,27,56,34,43,20,33,17,36,85,167,3.0,3.0,6.0,"4,811","3,301","8,112","1,047",630,"1,677","1,639","1,119","2,758","500,610","552,548","1,053,158",2013,11250,252,13252,12707,12836,13174,13358,13678,13504,13208,13177,12647,12626,12469,13462,12872,13757,15419,15654,15927,16102,15875,16444,14781,13713,13054,12674,12570,13639,14390,14837,15994,17256,18068,19146,19532,19431,20100,20243,19402,19797,19164,20092,20795,20348,19736,20520,18981,18531,18435,17852,16350,16069,14429,14531,13418,12057,11435,10432,9417,10110,9324,8919,8484,7842,7498,6543,5860,5307,4768,4593,4340,3819,4187,3401,3472,3370,3061,2924,2459,2194,2011,1769,1483,1351,1141,986,907,684,622,491,372,351,215,207,175,124,106,83,77,53,53
5612,14.0,พระนครศรีอยุธยา,0.0,,0.0,,0.0,,4389,4101,4886,4578,4836,4479,4650,4352,4791,4515,4884,4662,5100,4665,4736,4641,4818,4596,4968,4579,4773,4610,4837,4464,4706,4291,4773,4544,4789,4555,5225,5018,6002,5580,5961,5464,5852,5549,5610,5199,5365,5258,5169,5402,5034,5442,5224,5126,5174,5250,5081,4885,5113,5115,5428,5577,5695,5621,5702,5748,5896,5983,6272,6436,6407,6454,6456,6841,6589,6874,6380,6679,6865,7088,6535,6882,6426,6728,6218,6683,6206,6435,6336,7001,6516,6985,6344,6876,6400,7202,6596,7308,6228,6737,6314,6893,6601,7343,6207,6976,5914,6575,5735,6670,5335,6075,5412,6404,5009,5793,4484,5273,4315,5036,3895,4521,3487,4135,3954,4848,3528,4420,3559,4345,3418,4039,3143,4098,2991,3751,2657,3288,2379,2988,2197,2912,2012,2664,1971,2553,1849,2454,1683,2285,1855,2689,1622,2344,1638,2360,1566,2266,1477,2126,1567,2198,1416,2008,1195,1769,1080,1738,950,1437,874,1373,730,1227,608,1134,550,987,518,881,387,728,384,616,280,512,232,396,170,359,146,259,101,180,71,171,61,120,50,116,41,78,32,58,28,45,31,37,191,261,2.0,2.0,4.0,"3,559","2,306","5,865",447,285,732,763,595,"1,358","384,912","413,058","797,970",2013,8490,452,9464,9315,9002,9306,9546,9765,9377,9414,9547,9383,9301,8997,9317,9344,10243,11582,11425,11401,10809,10623,10571,10476,10350,10424,9966,10228,11005,11316,11450,11879,12708,12861,13297,13463,13059,13953,13417,13154,12901,12641,13337,13501,13220,13602,13904,12965,13207,13944,13183,12489,12405,11410,11816,10802,9757,9351,8416,7622,8802,7948,7904,7457,7241,6742,5945,5367,5109,4676,4524,4303,3968,4544,3966,3998,3832,3603,3765,3424,2964,2818,2387,2247,1957,1742,1537,1399,1115,1000,792,628,529,405,281,242,181,166,119,90,73,68
5612,15.0,อ่างทอง,0.0,,0.0,,0.0,,1374,1304,1474,1448,1483,1433,1466,1471,1566,1469,1548,1487,1633,1456,1583,1440,1597,1500,1661,1548,1627,1494,1626,1462,1678,1473,1690,1610,1681,1605,1805,1766,2033,1915,2019,1992,2039,1843,1977,1792,1974,1871,1848,1861,1641,1878,1929,1900,1863,1828,1858,1743,1890,1730,1893,1882,2073,1924,2076,1948,2060,2029,2129,2049,2005,1991,2109,2156,2169,2204,2116,2047,2215,2240,2140,2246,2100,2184,2037,2095,1911,1960,2078,2133,2155,2206,2115,2240,2233,2347,2201,2458,2131,2284,2186,2460,2410,2841,2377,2660,2203,2458,2151,2523,2016,2335,1995,2449,1867,2315,1710,2079,1726,2024,1467,1786,1465,1855,1484,1896,1427,1719,1518,1921,1366,1830,1308,1621,1268,1576,1150,1456,966,1258,921,1165,806,1145,722,955,810,1014,683,952,772,1113,643,966,689,1026,693,1052,680,994,609,938,613,880,484,740,465,752,386,636,348,614,313,567,269,475,207,402,188,366,145,332,141,266,114,212,77,160,70,139,43,116,39,81,24,74,15,40,16,42,16,26,11,22,9,17,7,10,7,25,8.0,3.0,11.0,"1,351",950,"2,301",90,80,170,184,144,328,"136,237","147,495","283,732",2013,2678,32,2922,2916,2937,3035,3035,3089,3023,3097,3209,3121,3088,3151,3300,3286,3571,3948,4011,3882,3769,3845,3709,3519,3829,3691,3601,3620,3775,3997,4024,4089,4178,3996,4265,4373,4163,4455,4386,4284,4132,3871,4211,4361,4355,4580,4659,4415,4646,5251,5037,4661,4674,4351,4444,4182,3789,3750,3253,3320,3380,3146,3439,3196,2929,2844,2606,2224,2086,1951,1677,1824,1635,1885,1609,1715,1745,1674,1547,1493,1224,1217,1022,962,880,744,609,554,477,407,326,237,209,159,120,98,55,58,42,33,26,17
5612,16.0,ลพบุรี,0.0,,0.0,,0.0,,3773,3516,4125,4015,4306,3906,4071,3855,4263,3983,4372,4057,4491,4076,4312,4138,4520,4229,4554,4435,4399,4088,4400,4077,4402,4148,4623,4382,4742,4361,5130,4740,5464,5229,5491,5167,5375,4968,5232,4770,5180,4733,9413,5118,10570,5112,6304,5245,5613,4967,5293,4884,5335,4818,5300,5292,5656,5272,5424,5161,5622,5405,5668,5617,5494,5298,5632,5331,5678,5614,5531,5301,5610,5820,5793,5819,5743,5701,5704,5628,5396,5513,5476,5856,5698,6382,5719,6148,5562,6095,6190,6731,5805,6464,5976,6604,6171,6857,6071,6826,5383,6320,5732,6237,5591,6007,5555,5939,5338,5729,4659,5164,4600,4825,4065,4520,3688,4206,3825,4475,3549,4179,3585,4046,3270,3905,3108,3663,3027,3561,2573,3257,2473,2879,2367,2673,2096,2614,2050,2298,1795,2221,1772,2252,1779,2298,1619,2215,1580,2152,1578,2070,1422,1805,1323,1811,1250,1633,1166,1485,1147,1472,972,1257,762,1061,706,982,588,904,479,777,421,628,342,537,271,415,207,375,163,301,159,238,123,194,85,159,67,112,41,94,36,80,47,67,21,52,32,42,28,24,104,153,2.0,0.0,2.0,"8,618","4,934","13,552",247,138,385,"2,148",477,"2,625","380,306","377,664","757,970",2013,7289,257,8140,8212,7926,8246,8429,8567,8450,8749,8989,8487,8477,8550,9005,9103,9870,10693,10658,10343,10002,9913,14531,15682,11549,10580,10177,10153,10592,10928,10585,11027,11285,10792,10963,11292,10832,11430,11612,11444,11332,10909,11332,12080,11867,11657,12921,12269,12580,13028,12897,11703,11969,11598,11494,11067,9823,9425,8585,7894,8300,7728,7631,7175,6771,6588,5830,5352,5040,4710,4348,4016,4024,4077,3834,3732,3648,3227,3134,2883,2651,2619,2229,1823,1688,1492,1256,1049,879,686,582,464,397,317,244,179,135,116,114,73,74,52
5612,17.0,สิงห์บุรี,0.0,,0.0,,0.0,,981,898,1103,1036,1089,1046,1109,1030,1155,1090,1144,1070,1147,1145,1149,1077,1124,1133,1096,1096,1203,1139,1150,1132,1092,1073,1163,1125,1177,1182,1373,1192,1384,1297,1484,1361,1399,1280,1358,1200,1415,1274,1266,1386,1273,1363,1359,1423,1329,1296,1330,1329,1331,1352,1477,1381,1556,1447,1471,1489,1493,1468,1591,1512,1533,1520,1582,1583,1590,1552,1526,1492,1678,1541,1593,1597,1475,1566,1430,1506,1399,1385,1464,1534,1521,1679,1537,1731,1540,1734,1518,1809,1545,1736,1585,1838,1799,1997,1749,2140,1616,1932,1728,2011,1606,1857,1628,1962,1493,1802,1317,1715,1281,1636,1193,1440,1085,1375,1229,1636,1202,1441,1165,1439,1056,1396,1062,1315,1034,1376,895,1194,860,1112,787,1007,683,943,621,796,633,765,564,771,650,902,520,719,542,779,581,812,509,791,481,725,522,696,398,578,362,586,293,437,264,492,211,447,190,383,172,280,154,311,118,214,95,173,77,168,72,114,49,91,33,85,20,65,18,34,10,20,7,26,12,24,8,17,4,5,13,9,7,13,0.0,0.0,0.0,"1,123",954,"2,077",79,58,137,217,115,332,"101,384","111,306","212,690",2013,1879,20,2139,2135,2139,2245,2214,2292,2226,2257,2192,2342,2282,2165,2288,2359,2565,2681,2845,2679,2558,2689,2652,2636,2782,2625,2659,2683,2858,3003,2960,2961,3103,3053,3165,3142,3018,3219,3190,3041,2936,2784,2998,3200,3268,3274,3327,3281,3423,3796,3889,3548,3739,3463,3590,3295,3032,2917,2633,2460,2865,2643,2604,2452,2377,2410,2089,1972,1794,1626,1417,1398,1335,1552,1239,1321,1393,1300,1206,1218,976,948,730,756,658,573,452,465,332,268,245,186,140,118,85,52,30,33,36,25,9,22
5612,18.0,ชัยนาท,0.0,,0.0,,0.0,,1550,1483,1741,1676,1762,1661,1804,1586,1821,1712,1783,1639,1904,1768,1836,1799,1861,1821,1842,1801,1828,1666,1765,1662,1733,1678,1845,1716,1926,1753,2085,1964,2222,2073,2332,2076,2296,2203,2189,2043,2374,2112,2209,2322,1916,2349,2191,2181,2188,2108,2067,2035,2024,1981,2127,2019,2371,2219,2240,2088,2293,2372,2334,2419,2417,2255,2417,2351,2450,2432,2336,2339,2475,2506,2629,2582,2550,2590,2476,2508,2483,2470,2488,2519,2605,2580,2583,2769,2578,2706,2670,2774,2477,2926,2569,2953,2889,3164,2780,3061,2562,2864,2638,2851,2512,3025,2313,2815,2341,2876,2057,2471,2138,2536,1871,2186,1715,2156,1962,2437,1766,2244,1822,2198,1683,1995,1639,2076,1582,2040,1477,1767,1280,1532,1121,1515,1003,1311,990,1318,969,1213,899,1095,1049,1313,845,1157,903,1124,868,1177,793,1073,761,1082,664,1059,647,862,572,821,457,678,393,637,374,575,288,503,275,458,226,422,196,291,143,267,114,227,103,167,70,132,65,113,37,80,31,64,13,36,25,33,17,21,12,24,7,19,5,16,14,39,0.0,0.0,0.0,"1,672","1,575","3,247",88,60,148,144,131,275,"160,542","172,227","332,769",2013,3033,53,3417,3423,3390,3533,3422,3672,3635,3682,3643,3494,3427,3411,3561,3679,4049,4295,4408,4499,4232,4486,4531,4265,4372,4296,4102,4005,4146,4590,4328,4665,4753,4672,4768,4882,4675,4981,5211,5140,4984,4953,5007,5185,5352,5284,5444,5403,5522,6053,5841,5426,5489,5537,5128,5217,4528,4674,4057,3871,4399,4010,4020,3678,3715,3622,3244,2812,2636,2314,2308,2182,1994,2362,2002,2027,2045,1866,1843,1723,1509,1393,1135,1030,949,791,733,648,487,410,341,270,202,178,117,95,49,58,38,36,26,21
